Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation(ms),TOTAL_GC_TIME_%_G1_Young_Generation,TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation(ms),TOTAL_GC_TIME_%_G1_Old_Generation,TOTAL_GCs_Count,TOTAL_GC_TIME(ms),TOTAL_GC_TIME_%,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
1,19238,2599.0227674394428,8,16,0.08316872855806216,0,0,0.0,8,16,0.08316872855806216,1,2044.0,2044,2044,2044,2044,50000,374.65044,53,4118527,458,652,50000
2,15036,3325.3524873636607,8,14,0.0931098696461825,0,0,0.0,8,14,0.0931098696461825,1,1803.0,1803,1803,1803,1803,50000,290.94404,53,78911,451,637,50000
3,14917,3351.8804049071528,8,15,0.1005564121472146,0,0,0.0,8,15,0.1005564121472146,1,2269.0,2268,2269,2269,2269,50000,288.82572,55,78783,441,590,50000
4,14844,3368.3643222850983,8,13,0.08757747237941256,0,0,0.0,8,13,0.08757747237941256,1,1591.0,1591,1591,1591,1591,50000,286.94618,53,76927,445,604,50000
5,14920,3368.3643222850983,8,14,0.09383378016085792,0,0,0.0,8,14,0.09383378016085792,1,2161.0,2160,2161,2161,2161,50000,288.77842,54,76351,449,600,50000
6,14980,3337.7837116154874,8,13,0.08757747237941256,0,0,0.0,8,13,0.08757747237941256,1,2351.0,2350,2351,2351,2351,50000,289.27002,55,61407,444,596,50000
7,14875,3361.344537815126,8,12,0.08010680239410682,0,0,0.0,8,12,0.08010680239410682,1,1591.0,1591,1591,1591,1591,50000,286.94618,53,76927,445,604,50000
8,14920,3351.206434316354,8,14,0.09383378016085792,0,0,0.0,8,14,0.09383378016085792,1,2131.0,2130,2131,2131,2131,50000,288.77842,54,76351,449,600,50000
9,15146,3301.2016373960123,8,12,0.0792288392975043,0,0,0.0,8,12,0.0792288392975043,1,1647.0,1647,1647,1647,1647,50000,293.26534,53,49247,450,602,50000
10,15063,3319.3918874062274,8,13,0.0863041890725619,0,0,0.0,8,13,0.0863041890725619,1,1666.0,1666,1666,1666,1666,50000,291.53092,54,63423,454,596,50000
