Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation(ms),TOTAL_GC_TIME_%_G1_Young_Generation,TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation(ms),TOTAL_GC_TIME_%_G1_Old_Generation,TOTAL_GCs_Count,TOTAL_GC_TIME(ms),TOTAL_GC_TIME_%,READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_95thPercentileLatency(us),READ_99thPercentileLatency(us),READ_Return=OK,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us)
1,4330,11547.344110854503,12,18,0.41570438799076215,0,0,0.0,12,18,0.41570438799076215,50000,80.6202,46,54047,163,322,50000,1,1286.0,1286,1286,1286,1286
2,4151,12045.290291496025,12,19,0.45772103107684897,0,0,0.0,12,19,0.45772103107684897,50000,77.14316,45,46655,130,257,50000,1,1133.0,1133,1133,1133,1133
3,4193,11924.636298592894,12,18,0.42928690674934417,0,0,0.0,12,18,0.42928690674934417,50000,78.13914,46,60319,135,295,50000,1,2391.0,2390,2391,2391,2391
4,4294,11644.154634373544,12,22,0.5123428039124359,0,0,0.0,12,22,0.5123428039124359,50000,79.9829,45,43359,154,251,50000,1,1295.0,1295,1295,1295,1295
5,4396,11373.976342129208,12,20,0.4549590536851683,0,0,0.0,12,20,0.4549590536851683,50000,82.42088,46,46463,142,282,50000,1,1165.0,1165,1165,1165,1165
6,4707,10622.477161674102,12,20,0.42489908646696406,0,0,0.0,12,20,0.42489908646696406,50000,87.87512,45,45919,198,366,50000,1,2057.0,2056,2057,2057,2057
7,4670,10706.638115631691,11,20,0.4282655246252677,0,0,0.0,11,20,0.4282655246252677,50000,87.49404,45,54303,172,336,50000,1,1279.0,1279,1279,1279,1279
8,6335,7892.659826361484,12,17,0.26835043409629045,0,0,0.0,12,17,0.26835043409629045,50000,117.82082,46,64063,277,495,50000,1,1286.0,1286,1286,1286,1286
9,4632,10794.473229706391,12,19,0.4101899827288429,0,0,0.0,12,19,0.4101899827288429,50000,86.4277,45,42431,163,351,50000,1,1389.0,1389,1389,1389,1389
10,5601,8926.977325477594,12,21,0.3749330476700589,0,0,0.0,12,21,0.3749330476700589,50000,105.63236,46,51039,234,478,50000,1,2191.0,2190,2191,2191,2191
