Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_95thPercentileLatency(us),READ_99thPercentileLatency(us),READ_Return=OK,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us)
1,852,58685.44600938967,3,5,0.5868544600938966,0,0,0.0,3,5,0.5868544600938966,50000,15.47018,10,8083,28,33,50000,1,402.0,402,402,402,402
2,719,69541.02920723226,3,6,0.8344923504867872,0,0,0.0,3,6,0.8344923504867872,50000,13.05332,10,4331,16,26,50000,1,450.0,450,450,450,450
3,718,69637.88300835654,3,6,0.8356545961002786,0,0,0.0,3,6,0.8356545961002786,50000,12.87226,10,4919,19,23,50000,1,407.0,407,407,407,407
4,867,57670.12687427912,3,4,0.461361014994233,0,0,0.0,3,4,0.461361014994233,50000,15.81782,11,4743,27,35,50000,1,410.0,410,410,410,410
5,914,54704.595185995626,3,5,0.5470459518599562,0,0,0.0,3,5,0.5470459518599562,50000,16.5693,10,4443,29,40,50000,1,537.0,537,537,537,537
6,755,66225.16556291391,3,5,0.6622516556291391,0,0,0.0,3,5,0.6622516556291391,50000,13.78694,10,4463,22,27,50000,1,403.0,403,403,403,403
7,808,61881.18811881188,3,5,0.6188118811881188,0,0,0.0,3,5,0.6188118811881188,50000,14.68356,11,4455,26,42,50000,1,394.0,394,394,394,394
8,710,70422.5352112676,3,4,0.5633802816901409,0,0,0.0,3,4,0.5633802816901409,50000,12.67512,10,4699,14,36,50000,1,429.0,429,429,429,429
9,859,58207.21769499418,3,4,0.46565774155995343,0,0,0.0,3,4,0.46565774155995343,50000,15.50296,10,8271,27,33,50000,1,387.0,387,387,387,387
10,874,57208.237986270025,3,5,0.5720823798627002,0,0,0.0,3,5,0.5720823798627002,50000,15.84586,10,4235,29,41,50000,1,391.0,391,391,391,391
